regulon,target_gene
AHR(-),HOXA9
AHR(-),RNF146
AHR(-),HNRNPA3
AHR(-),SRSF3
AHR(-),GNAS
AHR(-),HSPA8
AHR(-),AHR
ALX1(+),ZFHX4-AS1
ALX1(+),PTX3
ALX1(+),MIR99AHG
ALX1(+),ETV1
ALX1(+),TES
ALX1(+),ZFHX3
ALX1(+),FGF12
ALX1(+),NRP2
ALX1(+),ALX1
ALX1(+),ZFHX4
ALX1(+),EFEMP1
ALX1(+),PKIB
ALX1(+),TMTC2
ALX1(+),NEFL
ALX1(-),PAPPA
ALX1(-),WNT11
ALX1(-),IRS2
ALX1(-),BCL2
ALX1(-),ALDH1A2
ALX1(-),TSHZ3
ALX1(-),CCND2
ALX1(-),PDS5B
ALX1(-),HOXD13
ALX1(-),HDAC9
ALX1(-),DUSP6
ALX1(-),DUSP4
ALX1(-),C1QL1
ALX1(-),EBF3
ALX1(-),EGR1
ALX1(-),NR3C1
ALX1(-),AXIN2
ALX1(-),NTN1
ALX1(-),PTCH1
ALX1(-),HOXA13
ALX1(-),SLC16A3
ALX1(-),CALM1
ALX1(-),EPHA7
ALX1(-),MAF
ALX1(-),PTHLH
ALX1(-),CEBPA
ALX1(-),ALX1
ALX1(-),CDC42EP3
ALX1(-),HOXC5
ALX1(-),GAP43
ALX1(-),NEBL
ALX1(-),NFKBIZ
ALX1(-),TCF7L2
ALX1(-),LINC01503
ALX1(-),KCNIP1
ALX1(-),ZADH2
ALX1(-),SOCS2
ALX1(-),RRBP1
ALX1(-),HAND1
ALX1(-),WNT5A
ALX1(-),TCF4
ALX1(-),LAMA4
ALX1(-),APLP2
ALX1(-),RASGEF1B
ALX1(-),BOK
ALX1(-),HLX
ALX1(-),PDE4B
ALX1(-),LINC01305
ALX1(-),SLC12A2
ALX1(-),FABP5
ALX1(-),NRN1
ALX1(-),HAND2
ALX1(-),HAND2-AS1
ALX1(-),TSHZ1
ALX1(-),GNB4
ALX1(-),KCNS3
ALX1(-),BIN1
ALX1(-),PRICKLE1
ALX1(-),TEAD4
ALX1(-),SIX1
ALX1(-),YBX3
ALX1(-),FOXC1
ALX1(-),SEPT11
ALX1(-),IGFBP3
ALX1(-),STK3
ALX1(-),TBX18
ALX1(-),CD9
ALX1(-),HES1
ALX1(-),MTSS1
ALX1(-),RGMB
ALX1(-),MYH9
ALX1(-),ITGB1
ALX1(-),EPHA4
ALX1(-),DCX
ALX1(-),TBX15
ALX1(-),MAPRE2
ALX1(-),SGK1
ALX1(-),PDZRN3
ALX1(-),TSHZ2
ALX1(-),DZIP1L
ALX1(-),HHIP
ALX1(-),CCER2
ALX1(-),MGST1
ALX1(-),SH3KBP1
ALX1(-),DLX5
ALX1(-),PARVB
ALX1(-),NPR3
ALX1(-),NRXN1
ALX1(-),EPHX1
ALX1(-),CALD1
ALX1(-),RGL1
ALX3(+),MSX2
ALX3(+),IRX3
ALX3(+),SYT6
ALX3(+),SP7
ALX3(+),ZFHX3
ALX3(+),CDC42EP4
ALX3(+),MEIS2
ALX3(+),TBX2
ALX3(+),TBX2-AS1
ALX3(+),HOXA5
ALX3(+),ID2
ALX3(+),ALX3
ALX3(+),TBX3
