regulon,target_gene
ARID3A(+),ARID3A
ARID3A(+),KCNH2
ARID3A(+),UBALD1
ARID3A(+),KIZ-AS1
ARID3A(+),GATA3
ARID3A(+),ICA1
ARID3A(+),SPON1
ARID3A(+),UNC5B
ARID3A(+),DHCR24
ARID3A(+),CHST15
ARID3A(+),UBE2E1
ARID3A(+),ITPR1
ARID3A(+),CHGA
ARID3A(+),NKX2-2
ARID3A(+),FRY
ARID3A(+),VGLL4
ARID3A(+),MKRN1
ARID3A(+),PTPN4
ARID3A(+),MAPK10
ARID3A(+),FAM19A2
ARID3A(+),INPP4A
ARID3A(+),CDH13
ARID3A(+),PRKAR2B
ARID3A(+),PLXNB1
ARID3A(+),RET
ARID3A(+),SCG3
ARID3A(+),MCM7
ARID3A(+),SLC48A1
ARID3A(+),RGS4
ARID3A(+),DNAJC6
ARID3A(+),PAK1
ARID3A(+),PLPPR1
ARID3A(+),STEAP2
ARID3A(+),FBXO3
ARID3A(+),PSMD14
ARID3A(+),ADAM22
ARID3A(+),RAMP1
ARID3A(+),TPK1
ARID3A(+),ACTL6B
ARID3A(+),MDGA1
ARID3A(+),GJD2
ARID3A(+),ZNF703
ARID3A(+),KIF26A
ARID3A(+),EFNA3
ARID3A(+),INA
ARID3A(+),TRABD
ARID3A(+),CECR2
ARID3A(+),GATA2
ARID3A(+),SEZ6
ARID3A(+),MME
ARID3A(+),SNPH
ARID3A(+),MAB21L2
ARID3A(+),ACTR2
ARID3A(+),MAK16
ARID3A(+),AP3B2
ARID3A(+),CHGB
ARID3A(+),NDUFA9
ARID3A(+),SLIT3
ARID3A(+),DACT3
ARID3A(+),ANO1
ARID3A(+),CRB2
ARID3A(+),SH2B1
ARID3A(+),TCF12
ARID3A(+),MIAT
ARID3A(+),CFDP1
ARID3A(+),KCNJ6
ARID3A(+),CDYL2
ARID3A(+),KCNB2
ARID3A(+),SLC7A5
ARID3A(+),TSPAN19
ARID3A(+),LRP12
ARID3A(+),SCN8A
ARID3A(+),HCK
ARID3A(+),CADPS
ARID3A(+),KCNJ2
ARID3A(+),SLC7A8
ARID3A(+),CBX3
ARID3A(+),FSCN1
ARID3A(+),WNK2
ARID3A(+),SYTL4
ARID3A(+),ELAVL2
ARID3A(+),POU2F2
ARID3A(+),CDA
ARID3A(+),B3GAT1
ARID3A(+),WDFY3
ARID3A(+),NTNG1
ARID3A(+),RPL21
