regulon,target_gene
AHCTF1(+),PHACTR4
AHCTF1(+),BCOR
AHCTF1(+),LINC01089
AHCTF1(+),ITPKB
AHCTF1(+),DAXX
AHCTF1(+),AP1G1
AHCTF1(+),SLC23A2
AHCTF1(+),SPEN
AHCTF1(+),BAHCC1
AHCTF1(+),CTCF
AHCTF1(+),SFMBT2
AHCTF1(+),ZC3H7B
AHCTF1(+),AHCTF1
AHCTF1(+),PMM1
AHCTF1(+),FNBP1
AHCTF1(+),PRR34
AHCTF1(+),ZNF461
AHCTF1(+),RNF220
AHCTF1(+),FBXO28
AHCTF1(+),PXN
AHCTF1(+),JADE2
AHCTF1(+),B9D2
AHCTF1(+),GNAQ
AHCTF1(+),JADE3
AHCTF1(+),CELSR1
AHCTF1(+),VGLL4
AHCTF1(+),SLC37A4
AHCTF1(+),PHKG1
AHCTF1(+),OTUD7B
AHCTF1(+),WIPF1
AHCTF1(+),MATN2
AHCTF1(+),SSPN
AHCTF1(+),PHF2
AHCTF1(+),PATZ1
AHR(-),RPS7
AHR(-),RPL10A
AHR(-),RPS11
AHR(-),RPS3A
AHR(-),TCEAL8
AHR(-),WDR18
AHR(-),HIC1
AHR(-),HES1
AHR(-),ADM
AHR(-),NCL
AHR(-),ID2
AHR(-),UBC
AHR(-),MEG3
AHR(-),DARS
AHR(-),SEPT7
AHR(-),LSM3
AHR(-),CCT8
AHR(-),SMC4
AHR(-),TP53I11
AHR(-),RPS16
AHR(-),MCAM
AHR(-),HMOX2
AHR(-),KCNE3
AHR(-),THY1
AHR(-),EFNA1
AHR(-),ODC1
AHR(-),BLOC1S1
AHR(-),FOXM1
AHR(-),AHR
AHR(-),PQBP1
AHR(-),BUD31
AHR(-),CCNB1
AHR(-),CD24
AHR(-),KIF20B
AHR(-),RRM2
AHR(-),RPL28
AHR(-),PPP1CC
AR(+),PCDH1
AR(+),ABL2
AR(+),LIG4
AR(+),YIPF4
AR(+),SMTN
AR(+),GIPC2
AR(+),JPH1
AR(+),AR
ARID3A(+),ZFP36L1
ARID3A(+),FLI1
ARID3A(+),BTG1
ARID3A(+),ARID3A
ARID3A(+),RXRA
ARID3A(+),RGS17
ARID3A(+),HIPK2
ARID3A(+),IGF2BP2
ARID3A(+),FZD10
ARID3A(+),BCL6B
ARID3A(+),MAPK11
ARID3A(+),LMO2
ARID3A(+),IER5L
ARID3A(+),LIMCH1
ARID3A(+),FAM43A
ARID3A(+),BCO2
ARID3A(+),FAM13A
ARID3A(-),NTS
ARID3A(-),COL3A1
ARID3A(-),C1orf21
ARID3A(-),NDUFB6
ARID3A(-),ARID3A
ARID3A(-),LTBP4
ARID3A(-),COL1A2
ARID3A(-),FTH1
ARID3A(-),PRDX1
ARID3A(-),MEST
ARID3A(-),AKAP12
ARID3A(-),RELN
ARID3A(-),COL12A1
ARID3A(-),MAF
ARID3A(-),TUBB3
ARID3A(-),SPHK1
ARID3A(-),TINAGL1
ARID3A(-),CALM2
ARID3A(-),DCN
ARID3A(-),CRABP1
ARID3A(-),CD36
ARID5B(-),SH3GL1
ARID5B(-),ARID5B
ARID5B(-),TBX1
ARID5B(-),PTOV1
ARID5B(-),CDKN1C
ARID5B(-),INTS6
ARID5B(-),ZFP36L2
ARID5B(-),HIC1
ARID5B(-),HMGA1
ARID5B(-),SOX7
ARID5B(-),EFNA1
ARID5B(-),CNN2
ARID5B(-),TIMP3
ARID5B(-),IGFBP4
ARID5B(-),PLVAP
ARID5B(-),ENG
ARID5B(-),HES1
ARID5B(-),SRSF2
ARID5B(-),NEURL1B
ARID5B(-),NRP2
ARID5B(-),DDIT4
ARID5B(-),FAM43A
ARID5B(-),PIM3
ARID5B(-),PLXND1
ARID5B(-),SEC14L1
ARID5B(-),LHX6
ARID5B(-),ARF1
ARID5B(-),EGFL7
ARID5B(-),RPLP0
ARID5B(-),CHST15
ARID5B(-),GOLPH3
ARID5B(-),ODC1
ARID5B(-),WWTR1
ARID5B(-),MDK
ARID5B(-),KPNA2
ARID5B(-),TGFB1I1
ARID5B(-),ELK3
ARID5B(-),PTBP1
ARID5B(-),SLC2A3
ARID5B(-),ARHGDIB
ARID5B(-),CDK2AP2
ARID5B(-),CHEK1
ARID5B(-),CCNB2
ARID5B(-),ALDOA
ARID5B(-),ADM
ARID5B(-),ANGPTL4
ARID5B(-),PRKD2
ARID5B(-),SNRPA
ARID5B(-),BIRC5
ARID5B(-),ZYX
ARID5B(-),SMARCA4
ARID5B(-),PEA15
ARID5B(-),C1orf54
ARID5B(-),SF3A2
ARID5B(-),SERPINH1
ARID5B(-),RPS23
ARID5B(-),WBP2
ARID5B(-),LDB2
ARID5B(-),RPS8
ARID5B(-),CD40
ARID5B(-),SH3BP5
ARID5B(-),LDHA
ARNT(+),COMMD8
ARNT(+),BAX
ARNT(+),PLS3-AS1
ARNT(+),TNFAIP3
ARNT(+),DUSP7
ARNT(+),RXRA
ARNT(+),LAMP1
ARNT(+),GRN
ARNT(+),DBP
ARNT(+),PTDSS2
ARNT(+),FOXD3-AS1
ARNT(+),LINC00923
ARNT(+),CDH4
ARNT(+),CLK3
ARNT(+),ZNF521
ARNT(+),NRXN3
ARNT(+),RNH1
ARNT(+),GZF1
ARNT(+),RNASE4
ARNT(+),ABAT
ARNT(+),ZMYM6
ARNT(+),MFSD5
ARNT(+),CABLES1
ARNT(+),LATS2
ARNT(+),TMEM266
ARNT(+),DIAPH2
ARNT(+),TMIGD3
ARNT(+),ACSF2
ARNT(+),SLC33A1
ARNT(+),AKAP12
ARNT(+),CDK17
ARNT(+),MAPKAPK3
ARNT(+),G6PC3
ARNT(+),NRAS
ARNT(+),KLC4
ARNT(+),ZNF395
ARNT(+),MPZ
ARNT(+),HMGA1
ARNT(+),USP6NL
ARNT(+),TOB2
ARNT(+),TIAM2
ARNT(+),PPP1R13B
ARNT(+),SLC44A1
ARNT(+),ITGB4
ARNT(+),CFAP97
ARNT(+),MRGPRF
ARNT(+),ACYP1
ARNT(+),SLC30A7
ARNT(+),TMEFF1
ARNT(+),CYB561
ARNT(+),PPP1R12B
ARNT(+),PLA2G16
ARNT(+),UBE2V1
ARNT(+),CACFD1
ARNT(+),JUNB
ARNT(+),ZNF789
ARNT(+),FAT1
ARNT(+),CAMK1D
ARNT(+),GPI
ARNT(+),ATP6AP1L
ARNT(+),SLC30A5
ARNT(+),TNKS2
ARNT(+),MMS22L
ARNT(+),PDHX
ARNT(+),CLIC5
ARNT(+),ABHD6
ARNT(+),REEP6
ARNT(+),ABCB7
ARNT(+),PPP1R26
ARNT(+),C5orf63
ARNT(+),SNAP25-AS1
ARNT(+),COPRS
ARNT(+),RTN3
ARNT(+),CNTROB
ARNT(+),HLA-DMB
ARNT(+),PPME1
ARNT(+),ATRNL1
ARNT(+),FASTKD1
ARNT(+),MORC2
ARNT(+),SLC35B2
ARNT(+),RTN4
ARNT(+),GCLC
ARNT(+),TAF8
ARNT(+),STAMBPL1
ARNT(+),UBN1
ARNT(+),ABCA9
ARNT(+),VMA21
ARNT(+),ANO9
ARNT(+),KLF9
ARNT(+),RHBDL3
ARNT(+),WDFY4
ARNT(+),OSBPL6
ARNT(+),RAPSN
ARNT(+),RHOBTB3
ARNT(+),JUN
ARNT(+),PRKAG2
ARNT(+),TCERG1
ARNT(+),ALDH2
ARNT(+),MYBBP1A
ARNT(+),SORBS1
ARNT(+),NARF
ARNT(+),SPINT1
ARNT(+),CXorf40A
ARNT(+),ZC3HAV1L
ARNT(+),GNAZ
ARNT(+),NCLN
ARNT(+),SARAF
ARNT(+),FOXJ3
ARNT(+),DCTN3
ARNT(+),COA4
ARNT(+),ZNF575
ARNT(+),MFSD13A
ARNT(+),RSL1D1
ARNT(+),MPHOSPH8
ARNT(+),TSPAN17
ARNT(+),DOLPP1
ARNT(+),SPRY4
ARNT(+),IGSF9
ARNT(+),CCT2
ARNT(+),FANCB
ARNT(+),ESCO1
ARNT(+),VAMP3
ARNT(+),DNAJB14
ARNT(+),COX5A
ARNT(+),NRP2
ARNT(+),TUBB2A
ARNT(+),ZW10
ARNT(+),DHRS4
ARNT(+),DDX39B
ARNT(+),SYNDIG1
ARNT(+),FUBP3
ARNT(+),CCDC6
ARNT(+),RAB29
ARNT(+),TGIF2
ARNT(+),M6PR
ARNT(+),AATF
ARNT(+),MCCC2
ARNT(+),RASGRP2
ARNT(+),PRAF2
ARNT(+),DCAF11
ARNT(+),ZCCHC7
ARNT(+),SOX8
ARNT(+),MRM1
ARNT(+),AKAP1
ARNT(+),USF2
ARNT(+),KIF16B
ARNT(+),RNFT1
ARNT(+),SRRM1
ARNT(+),FGFRL1
ARNT(+),IMMP2L
ARNT(+),RANGAP1
ARNT(+),CTU1
ARNT(+),RNF157
ARNT(+),ZIK1
ARNT(+),MYEOV
ARNT(+),KCNQ1OT1
ARNT(+),EFCC1
ARNT(+),CRYAB
ARNT(+),ZNF77
ARNT(+),SLC12A2
ARNT(+),PGK1
ARNT(+),ZCCHC9
ARNT(+),OXNAD1
ARNT(+),WRAP73
ARNT(+),ARG2
ARNT(+),LHX9
ARNT(+),SNAP25
ARNT(+),ATAD2B
ARNT2(+),SLC36A1
ARNT2(+),ARFGEF2
ARNT2(+),PET117
ARNT2(+),UTY
ARNT2(+),PPFIBP2
ARNT2(+),KIAA0513
ARNT2(+),VAC14
ARNT2(+),TCEAL5
ARNT2(+),PDE1A
ARNT2(+),SBNO2
ARNT2(+),BMP4
ARNT2(+),TEX10
ARNT2(+),THUMPD2
ARNT2(+),SLC6A15
ARNT2(+),PAWR
ARNT2(+),LINC00884
ARNT2(+),PAG1
ARNT2(+),NPY1R
ARNT2(+),DENND2A
ARNT2(+),ZNF438
ARNT2(+),MTM1
ARNT2(+),TADA1
ARNT2(+),TP63
ARNT2(+),ANKH
ARNT2(+),ABLIM2
ARNT2(+),C12orf42
ARNT2(+),CSK
ARNT2(+),CEP120
ARNT2(+),MFAP3L
ARNT2(+),USP2
ARNT2(+),HOXA11-AS
ARNT2(+),BCL11B
ARNT2(+),SYS1
ARNT2(+),RFX8
ARNT2(+),DOPEY2
ARNT2(+),TRAF6
ARNT2(+),KCNJ8
ARNT2(+),LINC00636
ARNT2(+),PITPNM2
ARNT2(+),SNED1
ARNT2(+),NTN1
ARNT2(+),ATG14
ARNT2(+),APBB2
ARNT2(+),GABRB3
ARNT2(+),PSTPIP1
ARNT2(+),SYN2
ARNT2(+),GNAL
ARNT2(+),FAM126A
ARNT2(+),DNER
ARNT2(+),BMPER
ARNT2(+),HSD17B7
ARNT2(+),TMEM184C
ARNTL2(+),UBAP2L
ARNTL2(+),PRPF39
ARNTL2(+),SLCO5A1
ARNTL2(+),WEE1
ARNTL2(+),SNX2
ARNTL2(+),TRAPPC8
ARNTL2(+),PPM1H
ARNTL2(+),NR2F2
ARNTL2(+),ANLN
ARNTL2(+),TCEAL4
ARNTL2(+),GLMP
ARNTL2(+),PCGF2
ARNTL2(+),MAPKAPK3
ARNTL2(+),N4BP2L1
ARNTL2(+),VEGFB
ARNTL2(+),STK26
ARNTL2(+),ANKRD55
ARNTL2(+),RABEP1
ARNTL2(+),SLC38A1
ARNTL2(+),ESYT1
ARNTL2(+),ARRDC4
ARNTL2(+),ZNF789
ARNTL2(+),ARHGEF5
ARNTL2(+),RAB11FIP1
ARNTL2(+),STAT6
ARNTL2(+),REXO2
ATF1(+),RCC2
ATF1(+),HLX
ATF1(+),CDKN1A
ATF1(+),FAM53C
ATF1(+),KIAA0232
ATF1(+),CDCA7L
ATF1(+),ELMSAN1
ATF1(+),RPA3
ATF1(+),ZNF407
ATF1(+),IL12A-AS1
ATF1(+),SF3B4
ATF1(+),GNL1
ATF1(+),TOMM40
ATF1(+),CCDC189
ATF1(+),TRAF1
ATF1(+),TMEM33
ATF1(+),IPPK
ATF1(+),AKAP1
ATF1(+),WAPL
ATF1(+),RNASEH2B
ATF1(+),MORC3
ATF1(+),ZNF547
ATF1(+),MMAA
ATF1(+),GGNBP2
ATF1(+),FBXO38
ATF1(+),PPAN
ATF1(+),ZKSCAN1
ATF1(+),SECISBP2
ATF1(+),EIF1AD
ATF1(+),UBE2E1-AS1
ATF1(+),TBP
ATF1(+),POLR2K
ATF1(+),MTG2
ATF1(+),ZNF557
ATF1(+),PPP1R11
ATF1(+),CKMT2-AS1
ATF1(+),IRF2
ATF1(+),ZNF394
ATF1(+),KIAA0355
ATF1(+),NUP54
ATF1(+),LINC01510
ATF1(+),FBXL19
ATF1(+),SLX4IP
ATF1(+),SLC7A1
ATF1(+),PPP1R37
ATF1(+),HIST1H4H
ATF1(+),SLU7
ATF1(+),ZNF266
ATF1(+),ANAPC11
ATF1(+),FANCI
ATF1(+),PDE10A
ATF1(+),CNOT2
ATF1(+),TMBIM1
ATF1(+),AKAP2
ATF1(+),RPE
ATF1(+),ARL17A
ATF1(+),BCAR3
ATF1(+),NGDN
ATF1(+),QRICH1
ATF1(+),C7orf31
ATF1(+),ADRM1
ATF1(+),DPYSL5
ATF1(+),PGBD4
ATF1(+),SLC9A6
ATF1(+),DUSP14
ATF1(+),HOXB8
ATF1(+),CITED1
ATF1(+),S100A13
ATF1(+),MARCH4
ATF1(+),SETD6
ATF1(+),RCOR1
ATF1(+),HERC4
ATF1(+),MSANTD2
ATF1(+),ERBIN
ATF1(+),RAPGEF5
ATF1(+),AGO3
ATF1(+),UBC
ATF1(+),PSMA3
ATF1(+),ZNF362
ATF1(+),NECAP2
ATF1(+),DBN1
ATF1(+),HUS1
ATF1(+),EIF3H
ATF1(+),EIF3D
ATF1(+),SNRPB2
ATF1(+),SFI1
ATF1(+),RTN4RL1
ATF1(+),ST3GAL1
ATF1(+),RNF182
ATF1(+),TOX
ATF1(+),SNAI1
ATF1(+),DLEC1
ATF1(+),UPK1B
ATF1(+),HOXA-AS2
ATF1(+),TAF2
ATF1(+),FGGY
ATF1(+),CNBP
ATF1(+),MXRA5
ATF2(+),TAF11
ATF2(+),RCAN1
ATF2(+),MAP1B
ATF2(+),STX12
ATF2(+),JOSD2
ATF2(+),RELB
ATF2(+),UMPS
ATF2(+),ELL2
ATF2(+),CSNK1E
ATF2(+),CD2AP
ATF2(+),KIF18A
ATF2(+),NDUFA10
ATF2(+),EPB41L3
ATF2(+),TRA2A
ATF2(+),SUV39H2
ATF2(+),RDH13
ATF2(+),LOX
ATF2(+),BSDC1
ATF2(+),HEG1
ATF2(+),NDC80
ATF2(+),PRC1
ATF2(+),HSD3B7
ATF2(+),UQCRFS1
ATF2(+),SIX1
ATF2(+),LMNB1
ATF2(+),PAIP2
ATF2(+),PDZD8
ATF2(+),GK5
ATF2(+),SGO1
ATF2(+),PDPN
ATF2(+),APLN
ATF2(+),ELMO1
ATF2(+),ACOT7
ATF2(+),CMIP
ATF2(+),RTN4
ATF2(+),TMEM100
ATF2(+),PEF1
ATF2(+),TWISTNB
ATF2(+),NTN4
ATF2(+),PHF20
ATF2(+),BAP1
ATF2(+),PPP5C
ATF2(+),AKTIP
ATF3(+),JUN
ATF3(+),CDC25C
ATF3(+),FAM53C
ATF3(+),EBF4
ATF3(+),DUSP8
ATF3(+),TIMP3
ATF3(+),ATP6V0C
ATF3(+),MKNK2
ATF3(+),JUND
ATF3(+),ARHGEF28
ATF3(+),BTG2
ATF3(+),SLC3A1
ATF3(+),DUSP3
ATF3(+),ATF3
ATF3(+),FOSB
ATF3(+),DUSP1
ATF3(+),KDM6B
ATF3(+),ARHGEF7
ATF3(+),RBM23
ATF3(+),ATP6V1E2
ATF3(+),PAF1
ATF3(+),KLHL15
ATF3(+),FOS
ATF3(+),C17orf107
ATF3(+),ZFP36L1
ATF3(+),JDP2
ATF3(+),CDC42EP1
ATF3(+),NR4A1
ATF3(+),ZYX
ATF3(+),CXCL1
ATF3(+),HPCAL1
ATF3(+),KIF2C
ATF3(+),BRD2
ATF3(+),TUBB2B
ATF3(+),SH3PXD2A
ATF3(+),TSC22D2
ATF3(+),BTG1
ATF3(+),NR4A2
ATF3(+),PPP1R15A
ATF3(+),EGR3
ATF3(+),MAFF
ATF3(+),IMPDH2
ATF3(+),RCAN1
ATF3(+),ARIH1
ATF3(+),GOLPH3
ATF3(+),HDAC5
ATF3(+),RELB
ATF3(+),SLC45A1
ATF3(+),SLC25A25
ATF3(+),NEAT1
ATF3(+),TRAP1
ATF3(+),PNRC1
ATF3(+),UBC
ATF3(+),EBF1
ATF3(+),PNMA6A
ATF3(+),MIF
ATF3(+),NEURL4
ATF3(+),CCNL1
ATF3(+),ELMSAN1
ATF3(+),LDHA
ATF3(+),SLC6A15
ATF3(+),PPP1R10
ATF3(+),NSUN6
ATF3(+),MEG3
ATF3(+),STAT3
ATF3(+),ZNF503
ATF3(+),PLCG1
ATF3(+),IKZF2
ATF3(+),TBX1
ATF3(+),INPP1
ATF3(+),SARNP
ATF3(+),MIDN
ATF3(+),TRA2B
ATF3(+),IER2
ATF3(+),ARF5
ATF3(+),NR3C1
ATF3(+),NEDD9
ATF3(+),APOLD1
ATF3(+),SH3GL1
ATF3(+),GABARAP
ATF3(+),NRIP1
ATF3(+),THBD
ATF3(+),CACNA1C
ATF3(+),ODC1
ATF3(+),EGR2
ATF3(+),PPP1R12A
ATF3(+),EGR1
ATF3(+),MARCH3
ATF3(+),CNN2
ATF3(+),BAMBI
ATF3(+),RND1
ATF3(+),HSPH1
ATF3(+),CD83
ATF3(+),HERPUD1
ATF3(+),FOSL2
ATF3(+),NRN1
ATF3(+),TUBB3
ATF3(+),MYC
ATF3(+),LRRC32
ATF3(+),PMAIP1
ATF3(+),STMND1
ATF3(+),CTGF
ATF3(+),FSD2
ATF3(+),SASH1
ATF3(+),HSPA1A
ATF3(+),LILRB1
ATF3(+),NDRG1
ATF3(+),MYLIP
ATF3(+),ADM
ATF3(+),PLCL1
ATF3(+),RBM38
ATF3(+),ATXN10
ATF3(+),CDKN1A
ATF3(+),CXCL3
ATF3(+),CITED4
ATF3(+),NUTM2D
ATF3(+),CYR61
ATF3(+),LMO4
ATF3(+),ARL5B
ATF3(+),NAMPT
ATF3(+),RBBP6
ATF3(+),BAG3
ATF3(+),TOP1
ATF3(+),JUNB
ATF3(+),UBE2S
ATF3(+),IFRD1
ATF3(+),KLF4
ATF3(+),FOXL2
ATF3(+),KIAA0040
ATF3(+),TRPM2
ATF3(+),LOXL4
ATF3(+),CHDH
ATF3(+),ERN1
ATF3(+),PHLDA1
ATF3(+),PLAGL2
ATF3(+),PITPNC1
ATF3(+),POLR2A
ATF3(+),MAFB
ATF3(+),LRIG3
ATF3(+),POMZP3
ATF3(+),ETV6
ATF3(+),MCL1
ATF3(+),AKAP12
ATF3(+),XK
ATF3(+),HOXA-AS3
ATF3(+),RNASEK
ATF3(+),CDC42EP3
ATF3(+),PLK3
ATF3(+),DST
ATF3(+),RPS12
ATF3(+),ADAMTS18
ATF3(+),RRAD
ATF3(+),SPOPL
ATF3(+),MAP3K8
ATF3(+),PRDM8
ATF3(+),KIAA1324
ATF3(+),IER5
ATF3(+),TOMM5
ATF3(+),SH3BP4
ATF3(+),CHD6
ATF3(+),SMTN
ATF3(+),SQSTM1
ATF3(+),RPL17
ATF3(+),ULBP2
ATF3(+),DUSP5
ATF3(+),LAMC2
ATF3(+),FAM13A
ATF3(+),ZFP36
ATF3(+),DNAJA4
ATF3(+),NPHP4
ATF3(+),PAK2
ATF3(+),TRIM8
ATF3(+),DDIT3
ATF3(+),ETS2
ATF3(+),ING1
ATF3(+),DIABLO
ATF3(+),SRSF7
ATF3(+),MAGI1
ATF3(+),ALDOA
ATF3(+),NEURL1B
ATF3(+),GADD45B
ATF3(+),DCP1A
ATF3(+),EEF1A1
ATF3(+),RPL22L1
ATF3(+),RAB43
ATF3(+),MYADM
ATF3(+),PSMA6
ATF3(+),C11orf96
ATF3(+),H1FX
ATF3(+),SOCS3
ATF3(+),CNKSR2
ATF3(+),SPPL3
ATF3(+),GET4
ATF3(+),C1orf43
ATF3(+),CHD4
ATF3(+),HDLBP
ATF3(+),ATF4
ATF3(+),INTS6
ATF3(+),ANGPTL4
ATF3(+),CPNE2
ATF3(+),ZNF503-AS2
ATF3(+),HBEGF
ATF3(+),SNRK-AS1
ATF3(+),CPNE7
ATF3(+),H3F3B
ATF3(+),PPFIA2
ATF3(+),CDK2AP1
ATF3(+),CDKN1C
ATF3(+),KLF2
ATF3(+),HBP1
ATF3(+),GADD45G
ATF3(+),MIAT
ATF3(+),SEMA4A
ATF3(+),RGCC
ATF3(+),HSPA2
ATF3(+),SLC35D1
ATF3(+),HNRNPF
ATF3(+),AHCY
ATF3(+),AKAP8L
ATF3(+),TSPYL2
ATF3(+),DNAH2
ATF3(+),LINC01353
ATF3(+),HEXIM1
ATF3(+),NFKBIZ
ATF3(+),ZNF442
ATF3(+),SPATS2L
ATF3(+),TOB1
ATF3(+),CSRNP1
ATF3(+),SRRM2
ATF3(+),C17orf97
ATF3(+),YPEL5
ATF3(+),BCL3
ATF3(+),TLE4
ATF3(+),HM13
ATF3(+),RANBP2
ATF3(+),MADCAM1
ATF3(+),CABYR
ATF3(+),CXCL2
ATF3(+),KLF10
ATF3(+),CITED2
ATF3(+),DMRTC1
ATF3(+),IMMT
ATF3(+),SNX9
ATF3(+),TCHH
ATF3(+),HIST1H2AH
ATF3(+),HIST1H2BK
ATF3(+),SULT1C4
ATF3(+),DNTTIP2
ATF3(+),NDUFV1
ATF3(+),YBX3
ATF3(+),HIST2H2BF
ATF3(+),RPL7A
ATF3(+),SERTAD1
ATF3(+),UBE2V1
ATF3(+),LHX6
ATF3(+),SELE
ATF3(+),BOP1
ATF3(+),IER3
ATF3(+),ZC3HAV1
ATF3(+),ALS2CR12
ATF3(+),DNAJB1
ATF3(+),ABHD5
ATF3(+),NFKBIA
ATF3(+),TNFAIP2
ATF3(+),TWF2
ATF3(+),SOD2
ATF3(+),IRF1
ATF3(+),TGFB1
ATF3(+),SOCS1
ATF3(+),H2AFX
ATF3(+),EGR4
ATF3(+),LINC00997
ATF3(+),VAMP1
ATF3(+),MMP1
ATF3(+),TGDS
ATF3(+),RPL37
ATF3(+),FAM133B
ATF3(+),DAPL1
ATF3(+),C17orf64
ATF3(+),CEMIP
ATF3(+),CREB5
ATF3(+),ZNF295-AS1
ATF3(+),LETM2
ATF3(+),PTPRS
ATF3(+),CASP3
ATF3(+),LINC01173
ATF3(+),AJUBA
ATF3(+),RAB30
ATF3(+),PDP1
ATF3(+),DNTTIP1
ATF3(+),LINC01132
ATF3(+),RGS20
ATF3(+),NOC4L
ATF3(+),BTG3
ATF3(+),CBX8
ATF3(+),HPS5
ATF3(+),ZNF367
ATF3(+),CD2AP
ATF3(+),CEP57
ATF3(+),AREG
ATF3(+),RBMS2
ATF3(+),RPL18
ATF3(+),EIF1
ATF3(+),TRNT1
ATF3(+),SLC12A6
ATF3(+),SDCBP2
ATF3(+),LMTK2
ATF3(+),ZC3H12A
ATF3(+),ZIM2
ATF3(+),KDM6A
ATF3(+),NFKB2
ATF3(+),NT5C3A
ATF3(+),AFF4
ATF3(+),GAB2
ATF3(+),TAF4B
ATF3(+),FAM156A
ATF3(+),FAM234A
ATF3(+),EPPK1
ATF3(+),ALOX12-AS1
ATF3(+),MTUS2
ATF3(+),XKR4
ATF3(+),NABP1
ATF3(+),ASXL3
ATF3(+),EIF4A1
ATF3(+),KCNQ1OT1
ATF3(+),MYO18A
ATF3(+),ZNF460
ATF3(+),MYT1L
ATF3(+),PPP1R12B
ATF3(+),RAD50
ATF3(+),PARVG
ATF3(+),ADGRG2
ATF3(+),SLITRK4
ATF3(+),MMP28
ATF3(+),SRGAP2
ATF3(+),BEAN1
ATF3(+),NCOA2
ATF3(+),ARHGAP6
ATF3(+),XIRP2
ATF3(+),EDIL3
ATF3(+),IL6
ATF3(+),HIST1H2AL
ATF3(+),PI4KB
ATF3(+),CHAC1
ATF3(+),VIPR2
ATF3(+),TTN
ATF3(+),CDK18
ATF3(+),PHLPP2
ATF3(+),EXPH5
ATF3(+),ZNF107
ATF3(+),SLC39A11
ATF3(+),RASL10A
ATF3(+),ADGRF4
ATF3(+),SLC25A48
ATF3(+),SIAH2
ATF3(+),HIC2
ATF3(+),MPP6
ATF3(+),EIF5
ATF3(+),AGAP3
ATF3(+),RPL13
ATF3(+),PDK3
ATF3(+),OLMALINC
ATF3(+),MUC13
ATF3(+),LINC00472
ATF3(+),ARID5A
ATF3(+),TEX29
ATF3(+),S100A11
ATF3(+),BBOF1
ATF3(+),PCDHGA1
ATF3(+),TOX
ATF3(+),SMARCA5-AS1
ATF3(+),RPS3
ATF3(+),PPP1R13L
ATF3(+),POC1B-GALNT4
ATF3(+),HIST1H3B
ATF3(+),SHF
ATF3(+),ESAM
ATF3(+),BICD1
ATF3(+),DYNLL2
ATF3(+),PRPF6
ATF3(+),HAS3
ATF3(+),PCF11
ATF3(+),RAB24
