regulon,target_gene
AHR(-),HNRNPK
AHR(-),RPS15A
AHR(-),RPL10A
AHR(-),GDI2
AHR(-),RPS6
AHR(-),RPS3A
AHR(-),SRSF5
AHR(-),BOC
AHR(-),HNRNPC
AHR(-),ERGIC2
AHR(-),EIF4A2
AHR(-),NDUFA11
AHR(-),PMVK
AHR(-),MCM5
AHR(-),UBE2I
AHR(-),HNRNPA3
AHR(-),PAPOLA
AHR(-),RPS29
AHR(-),UBB
AHR(-),DEGS1
ALX1(+),MDGA1
ALX1(+),NFIC
ALX1(+),RSPO3
ALX1(+),SLITRK3
ALX1(+),MRAS
ALX1(+),ADAMTS10
ALX1(+),ALX4
ALX1(+),SPATA18
ALX1(+),RBP4
ALX1(+),TOX
ALX1(+),HOXA10
ALX1(+),ALX1
ALX1(+),TWIST2
ALX1(+),KCNIP4
ALX1(+),DLG4
ALX1(+),ZEB1
ALX1(+),SRGAP2B
ALX1(+),ALPL
ALX1(+),KCTD8
ALX1(+),MADCAM1
ALX1(+),FASN
ALX1(+),C9orf40
ALX1(+),COL12A1
ALX1(+),PCP2
ALX1(+),SFRP2
ALX1(+),NTRK1
ALX1(+),CSRP2
ALX1(+),TOX3
ALX1(+),SH3BP1
ALX1(+),DEPTOR
ALX1(+),PRKRIP1
ALX1(+),SPATA1
ALX1(+),MED12
ALX1(+),LRRC4B
ALX1(+),RAB42
ALX1(+),MAB21L2
ALX1(+),SRD5A2
ALX1(+),SLIT3
ALX1(+),SHC4
ALX1(+),MMP24
ALX1(+),RSPO2
ALX1(+),ACKR3
ALX1(+),RNF175
ALX1(+),FGD1
ALX1(+),PDGFRA
ALX1(+),TMEM187
ALX1(+),SLITRK4
ALX1(+),NCAPH
ALX1(+),KYAT3
ALX1(+),ASCL2
ALX1(+),TMEM59L
ALX1(+),NOG
ALX1(+),ANGPTL6
ALX1(+),GATA2-AS1
ALX1(+),BDNF
ALX1(+),MMP17
ALX1(+),SP7
ALX1(+),NEUROG2
ALX1(+),PRUNE2
