regulon,target_gene
AEBP2(+),RNF126
AEBP2(+),CLTC
AEBP2(+),UBE2O
AEBP2(+),KANK2
AEBP2(+),MMP23B
AEBP2(+),RBP1
AEBP2(+),ADCY6
AEBP2(+),CNOT9
AEBP2(+),GSPT1
AEBP2(+),UQCC3
AEBP2(+),PPP1R9B
AEBP2(+),ITGAE
ALX1(+),SLIT2
ALX1(+),FST
ALX1(+),HIVEP1
ALX1(+),TRIB2
ALX1(+),FLI1
ALX1(+),INPPL1
ALX1(+),GDF7
ALX1(+),SETD1B
ALX1(+),MEIS3
ALX1(+),GAREM2
ALX1(+),SMAD6
ALX1(+),MAP7D1
ALX1(+),HOXA6
ALX1(+),ABR
ALX1(+),HOXC10
ALX1(+),LSM14B
ALX1(+),IREB2
ALX1(+),PHF21B
ALX1(+),MAP4K4
ALX1(+),STIM2
ALX1(+),TRHDE
ALX1(+),RSPO3
ALX1(+),GTF2IRD1
ALX1(+),TBX3
ALX1(+),SAMD4A
ALX1(+),SETBP1
ALX1(+),SKIDA1
ALX1(+),ARID5B
ALX1(+),GLI3
ALX1(+),SMARCD3
ALX1(+),LRRC4C
ALX1(+),RBFOX2
ALX1(+),AP5B1
ALX1(+),NR2F6
ALX1(+),MAPK6
ALX1(+),GOLGA8B
ALX1(+),ERF
ALX1(+),NR2F2
ALX1(+),HOXC8
ALX1(+),KIAA1522
ALX1(+),BOC
ALX1(+),HOXB9
ALX1(+),HNRNPL
ALX1(+),HOXC6
ALX1(+),SLC16A5
ALX1(+),CSGALNACT1
ALX1(+),RCOR1
ALX1(+),ALX1
ALX1(+),JADE3
ALX1(+),RORB
ALX1(+),ARID1B
ALX1(+),CDK14
ALX1(+),AKT3
ALX1(+),SNRK
ALX1(+),ADGRL2
ALX1(+),GNG4
ALX1(+),HOXA5
ALX1(+),GOLGA8A
ALX1(+),CACHD1
ALX1(+),SCUBE1
ALX1(+),FZD10
ALX1(+),HIPK2
ALX1(+),USF2
ALX1(+),SULF1
ALX1(+),SOX11
ALX1(+),ZFHX4-AS1
ALX1(+),CCNG2
ALX1(+),ZFHX4
ALX1(+),RHOBTB1
ALX1(+),PRKG1
ALX1(+),NOL4L
ALX1(+),MIR9-3HG
ALX1(+),IRX3
ALX1(+),ADCY2
ALX1(+),BRINP1
ALX1(+),PKP3
ALX1(+),TJP2
ALX1(+),NCAM2
ALX1(+),LOXL4
ALX1(+),ITGA5
ALX1(+),IRF1
ALX1(+),SSPN
ALX1(+),DENND1A
ALX1(+),TEAD1
ALX1(+),AGAP9
ALX1(+),PLEKHA2
ALX1(+),IER5L
ALX1(+),PDE4D
ALX1(+),CHSY1
ALX1(+),RHOF
ALX1(+),HOXB-AS3
ALX1(+),FBRS
ALX1(+),RBP4
ALX1(+),ZC3H6
ALX1(+),PLPP7
ALX1(+),VGLL4
ALX1(+),PTK7
ALX1(+),SYNPO
ALX1(+),NCOA3
ALX1(+),ARHGEF35
ALX1(+),LRFN3
ALX1(+),PEAR1
ALX1(+),NUP93
ALX1(+),ARHGEF19
ALX1(+),FBXL17
ALX1(+),OAF
ALX1(+),SLC6A15
ALX1(+),NTM
ALX1(+),CDH8
ALX1(+),PCDH7
ALX1(+),TBX18
ALX1(+),MPDZ
ALX1(+),NEFL
ALX1(+),CYLD
ALX1(+),ZNF232
ALX1(+),SEMA4A
ALX1(+),ITGB8
ALX1(+),RGMB-AS1
ALX1(+),ABAT
ALX1(+),NOVA1
ALX1(+),NCK2
ALX1(+),SDK2
ALX1(+),DCX
ALX1(+),AXL
ALX1(+),DPY19L3
ALX1(+),FZD3
ALX1(+),PKD1
ALX1(+),FAM76A
ALX1(+),AXIN1
ALX1(+),CDH2
ALX1(+),CACNB1
ALX1(+),NBPF12
ALX1(+),ZMYM3
ALX1(+),TMEM218
ALX1(+),ARSI
ALX1(+),IL1RAPL1
ALX1(+),FAM102B
ALX1(+),METTL4
ALX1(+),RAB11FIP4
ALX1(+),LRP1B
ALX1(+),PPP1R1A
ALX1(+),DYNLRB2
ALX1(+),CD248
ALX1(+),HSD11B2
ALX1(+),STXBP5
ALX1(+),PHKG1
ALX1(+),VWA5A
ALX1(+),INTS12
ALX1(+),MIR99AHG
ALX1(+),NR2F2-AS1
ALX1(+),ATXN7
ALX1(+),PYGO1
ALX1(+),SHISA3
ALX1(+),LIN7A
ALX1(+),ZBTB47
ALX1(+),CDYL2
ALX1(+),FAM222B
ALX1(+),SMARCAL1
ALX1(+),ST3GAL2
ALX1(+),ITGB4
ALX1(+),RHBDF1
ALX1(+),CAPRIN2
ALX1(+),STAU2
ALX1(+),STARD13
ALX1(+),KMT5C
ALX1(+),DUSP26
ALX1(+),MIRLET7BHG
ALX1(+),AFF3
ALX1(+),CLPX
ALX1(+),RNASEH2B
ALX1(+),RPS6KL1
ALX1(+),NFKB1
ALX1(+),AFF2
ALX1(+),PAN2
ALX1(+),STC1
ALX1(+),STRN3
ALX1(+),KIF3B
ALX1(+),MAP6D1
ALX1(+),SLCO4A1
ALX1(+),HOXB-AS1
ALX1(+),FAM69C
ALX1(+),EPS15
ALX1(+),CNTN5
ALX1(+),FAM110B
ALX1(+),IGF1
ALX1(+),ZNF598
ALX1(+),NFATC4
ALX1(+),H6PD
ALX1(+),EXTL3
ALX1(+),HRH2
ALX1(+),TBC1D1
ALX1(+),TP53I13
ALX1(+),CHST12
ALX1(+),TH
ALX1(+),LRRC75B
ALX1(+),ELAVL3
ALX1(+),CCER2
ALX1(+),IRX5
ALX1(+),ENHO
ALX1(+),SCHIP1
ALX1(+),NPIPB6
ALX1(+),PRLR
ALX1(+),ARC
ALX1(+),LYPD1
ALX1(+),CNTN2
ALX1(+),OSBPL5
ALX1(+),TMEM14A
ALX1(+),DOCK1
ALX1(+),PIP4K2B
ALX1(+),ZNF692
ALX1(+),TUBB2B
ALX1(+),RASAL2
ALX1(+),ACOT7
ALX1(+),SRGAP1
ALX1(+),NAA35
ALX1(+),CRISPLD1
ALX1(+),PRR16
ALX1(+),TMEM164
ALX1(+),FOXJ2
ALX1(+),GPS2
ALX1(+),VPS37D
ALX1(+),CCHCR1
ALX1(+),MLLT1
ALX1(+),ZBTB40
ALX1(+),SIX5
ALX1(+),SIMC1
ALX1(+),MYOZ3
ALX1(+),PLXNB1
ALX1(+),GTF2F1
ALX1(+),RPS6KA5
ALX1(+),CENPL
ALX1(+),HPSE2
ALX1(+),SNX1
ALX1(+),DGAT2
ALX1(+),ABLIM3
ALX1(+),CACNA2D3
ALX1(+),FAM193B
ALX1(+),RFX7
ALX1(+),ZNF248
ALX1(+),SIRT6
ALX1(+),KLHL25
ALX1(+),SENP3
ALX1(+),PTPN6
