regulon,target_gene
AHRR(+),ZBTB25
AHRR(+),NR1D1
AHRR(+),STC2
AHRR(+),ENO1-AS1
AHRR(+),AHRR
AHRR(+),CCDC68
AHRR(+),WSCD2
AHRR(+),KCNQ5
AHRR(+),GFRA2
AHRR(+),BAIAP2
AHRR(+),ETS1
AHRR(+),SP7
AHRR(+),SCML4
AHRR(+),SMAD3
AHRR(+),LINC01505
AHRR(+),CARD11
AHRR(+),FBLIM1
ALX1(+),PIAS1
ALX1(+),RSPO3
ALX1(+),CADM1
ALX1(+),TPM1
ALX1(+),RUNX1T1
ALX1(+),ZFHX4-AS1
ALX1(+),ATP11B
ALX1(+),PDE4D
ALX1(+),ALX1
ALX1(+),LMCD1
ALX1(+),CARHSP1
ALX1(+),MPP3
ALX1(+),TNFSF11
ALX1(+),TUBB2B
ALX1(+),PITX2
ALX1(+),RASL11B
ALX1(+),ZNF784
ALX1(+),ORC6
ALX1(+),PLK1
ALX1(+),HJURP
ALX1(+),RSBN1L
ALX1(+),C2CD4C
ALX1(+),REEP4
ALX1(+),NTN1
ALX3(+),MSX2
ALX3(+),HOXD3
ALX3(+),MYRF
ALX3(+),TUBB3
ALX3(+),ZNF503-AS2
ALX3(+),ALX3
ALX3(+),KAZN
ALX3(+),LRRN1
ALX3(+),CTXN1
ALX3(+),ATP6V0C
ALX3(+),HOXA13
ALX3(+),EFNB2
ALX3(+),ALX1
ALX3(+),DCX
ALX3(+),TBX5-AS1
ALX3(+),GABRA2
ALX3(+),HOXD10
ARID3A(+),F13A1
ARID3A(+),GNB4
ARID3A(+),AGR2
ARID3A(+),ABCA1
ARID3A(+),ATOX1
ARID3A(+),DAB2
ARID3A(+),CCNL1
ARID3A(+),LMAN2
ARID3A(+),NFE2L2
ARID3A(+),ARID3A
ARID3A(+),COX7B
ARID3A(+),FOXO3
ARID3A(+),TBC1D14
ARID3A(+),RAP2B
ARID3A(+),FAM198B
ARID3A(+),MEF2C
ARID3A(+),NME4
ARID3A(+),EGFL7
ARID3A(+),ABI1
ARID3A(+),UBE2R2
ARID3A(+),CRIM1
ARID3A(+),CS
ARID3A(+),KCNMA1
ARID3A(+),RNF7
ARID3A(+),EPC2
ARID3A(+),NDUFB8
ARID3A(+),MGRN1
ARID3A(+),ZNF384
ARID3A(+),SOX13
ARID3A(+),AMDHD2
ARID3A(+),NLRX1
ARID3A(+),DYNLL2
ARID3A(+),HS3ST3A1
ARID3A(+),TACC1
ARID3A(+),EPG5
ARID3A(+),COL13A1
ARID3A(+),HSD17B14
ARID3A(+),IMP3
ARID3A(+),MYBL1
ARID3A(+),MGST2
ARID3A(+),NOP10
ARID3A(+),TBC1D16
ARID3A(+),KLHL29
ARID3A(+),NECAP2
ARID3A(+),CCDC50
ARID3A(+),PTPN6
ARID3A(+),LYVE1
ARID3A(+),EPS15
ARID3A(+),METTL7B
ARID3A(+),STX7
ARID3A(+),SPP1
ARID3A(+),TIMP2
ARID3A(-),COL1A2
ARID3A(-),ARID3A
ARID3A(-),LUM
ARID3A(-),RPL10
ARID3A(-),VCAN
ARID3A(-),PLAC9
ARID3A(-),RUNX1T1
ARID3A(-),LMO4
ARID3A(-),MEST
ARID3A(-),EBF1
ARID3A(-),MORF4L2
ARID3A(-),GATA2
ARID3A(-),BASP1
ARID3A(-),CREB5
ARID3A(-),GPX8
ARID3A(-),MEIS2
ARID5B(+),EIF4H
ARID5B(+),CITED2
ARID5B(+),NPPC
ARID5B(+),CTNNB1
ARID5B(+),ACACA
ARID5B(+),ANKRD40
ARID5B(+),MYB
ARID5B(+),INTS6
ARID5B(+),ANTXR1
ARID5B(+),NFIB
ARID5B(+),CUX1
ARID5B(+),ARID5B
ARID5B(+),FRMD4A
ARID5B(+),KDM3B
ARID5B(+),FOXO3
ARID5B(+),MZT1
ARID5B(+),ZNF585B
ARID5B(+),YWHAQ
ARID5B(+),NOP56
ARNT(-),MCOLN1
ARNT(-),CFL1
ARNT(-),ANP32B
ARNT2(+),CHAF1A
ARNT2(+),FOXM1
ARNT2(+),LIN28B
ARNT2(+),INTU
ARNT2(+),TCEAL3
ARNT2(+),ELOVL4
ARNT2(+),GPM6B
ARNT2(+),TSKU
ARNT2(+),DKK2
ARNTL(+),ARMT1
ARNTL(+),IGF1
ARNTL(+),DTX3
ARNTL(+),H1FX
ARNTL(+),MBNL2
ARNTL(+),NRXN1
ARNTL(+),ZMYM6
ARNTL(+),QKI
ARNTL(+),LMNB1
ARNTL(+),LINC01405
ASCL2(+),SOX13
ASCL2(+),FGD4
ASCL2(+),FBXW7
ASCL2(+),SLC7A7
ASCL2(+),RCC2
ASCL2(+),SIGLEC1
ASCL2(+),ZMAT3
ASCL2(+),HMGN5
ASCL2(+),DDAH2
ASCL2(+),ZNF185
ASCL2(+),PRKCZ
ASCL2(+),HCAR3
ASCL2(+),SH3KBP1
ASCL2(+),GHR
ASCL2(+),NAGK
ASCL2(+),ACP2
ATF1(+),SGMS2
ATF1(+),ARRDC5
ATF1(+),PPP1R17
ATF1(+),QPCT
ATF1(+),GXYLT2
ATF1(+),FAM177A1
ATF1(+),BOD1
ATF1(+),CYSTM1
ATF1(+),OCIAD1
ATF1(+),GAB2
ATF1(+),DNAJC27
ATF1(+),HAS1
ATF1(+),TMEM39B
ATF1(+),LCTL
ATF1(+),RNF20
ATF1(-),CD4
ATF1(-),HERPUD1
ATF1(-),NAMPT
ATF1(-),IGFBP4
ATF1(-),WASF2
ATF1(-),CDKN1A
ATF1(-),TIMP1
ATF1(-),EZR
ATF1(-),JUND
ATF1(-),ATF1
ATF1(-),F13A1
ATF1(-),RAB20
ATF1(-),SLC7A7
ATF1(-),KLF2
ATF1(-),CAMP
ATF1(-),BLVRB
ATF1(-),S100A8
ATF1(-),MXD1
ATF1(-),KLF6
ATF1(-),HEXA
ATF1(-),ASAH1
ATF1(-),RNH1
ATF1(-),NRP1
ATF1(-),ACTR2
ATF1(-),TNMD
ATF1(-),RAB1A
ATF1(-),CREM
ATF1(-),EFHD2
ATF1(-),UBE2S
ATF1(-),LAIR1
ATF1(-),PLTP
ATF1(-),HMOX1
ATF1(-),ABCG2
ATF1(-),S100A9
ATF1(-),DCN
ATF1(-),CYBB
ATF1(-),KCTD12
ATF2(+),ZNF76
ATF2(+),LIPE-AS1
ATF2(+),EPB41L3
ATF2(+),DNAJC27-AS1
ATF2(+),MOV10L1
ATF2(+),UBE4A
ATF2(+),CALCB
ATF2(+),ZNF616
ATF2(+),G3BP2
ATF2(+),CACNA1C
ATF2(+),SDHAF1
ATF2(+),BUD31
ATF2(+),FLI1
ATF2(+),SRSF7
ATF2(+),SHMT2
ATF2(+),DDAH1
ATF2(+),VAMP3
ATF2(+),KAT7
ATF2(+),CASP9
ATF2(+),HMBS
ATF2(+),NFXL1
ATF2(+),IPO7
ATF2(+),TGOLN2
ATF2(+),TCTEX1D1
ATF2(+),S100A2
ATF2(+),WIZ
ATF2(+),PDHX
ATF2(+),NR2C1
ATF2(+),NSMCE1
ATF2(+),SNX8
ATF2(+),TPP2
ATF2(+),CNOT11
ATF2(+),DNAJB12
ATF2(+),TSIX
ATF2(+),TPMT
ATF2(+),PPT1
ATF2(+),ZNF595
ATF2(+),ZNF771
ATF2(+),CYB5R3
ATF2(+),ATF2
ATF2(+),MCOLN1
ATF2(+),COMMD9
ATF2(+),KAT5
ATF2(+),AFF4
ATF2(+),SPNS1
ATF2(+),PTPRS
ATF2(+),RGL1
ATF2(+),HEXA-AS1
ATF2(+),INSIG1
ATF2(+),RIC1
ATF2(+),EMC2
ATF2(+),PCM1
ATF2(+),RHNO1
ATF2(+),TRAPPC8
ATF2(+),SNX2
ATF2(+),PIGR
ATF2(+),NEU1
ATF2(+),PPP1R10
ATF2(+),RAB3IL1
ATF2(+),SH3GL1
ATF2(+),ANKS1A
ATF2(+),HM13
