regulon,target_gene
AIRE(+),LIMK2
AIRE(+),LINC00588
AIRE(+),ZNF385B
AIRE(+),CACNG6
AIRE(+),ALPK2
AIRE(+),TP63
ALX1(+),ZNF143
ALX1(+),EVX2
ALX1(+),FEV
ALX1(+),MECOM
ALX1(+),SALL2
ALX1(+),RSPO3
ALX1(+),HOXD11
ALX1(+),ZIC2
ALX1(+),LRRC4C
ALX1(+),NRP2
ALX1(+),ALX1
ALX1(+),CDK14
ALX1(+),SCUBE1
ALX1(+),SYT6
ALX1(+),PTF1A
ALX1(+),TWIST2
ALX1(+),ZNF503-AS2
ALX1(+),PCDH9
ALX1(+),RBP4
ALX1(+),MCTP2
ALX1(+),C12orf42
ALX1(+),HAND2-AS1
ALX1(+),ST7-AS1
ALX1(+),MSRB3
ALX1(+),CTPS2
ALX1(+),IRX5
ALX1(+),MYBPC2
ALX1(+),SLC35B4
ALX1(+),MEF2A
ALX1(+),SLCO5A1
ALX1(+),ROR2
ALX1(+),ETV6
ALX1(+),HEBP2
ALX1(+),TBX19
ALX1(+),DEXI
ALX1(+),DLL3
ALX1(+),TNRC6A
ALX1(+),RUNDC3B
ALX1(+),MAB21L2
ALX1(+),BOLL
ALX1(+),LYG1
ALX1(+),DAZAP1
ALX1(+),C7orf26
ALX1(+),CCDC24
ALX1(+),RHOD
ALX1(+),OPN3
ALX4(+),FOXP4
ALX4(+),TMEM256-PLSCR3
ALX4(+),KALRN
ALX4(+),SNHG4
ALX4(+),BDNF
ALX4(+),ZFPM2
ALX4(+),HCN4
ALX4(+),DACH1
ALX4(+),DBX1
ALX4(+),WT1
ALX4(+),LINC00682
ALX4(+),ANKRD1
ALX4(+),TTC39C
ALX4(+),NRP2
ALX4(+),EPHA2
ALX4(+),MAB21L2
ALX4(+),HIP1R
ALX4(+),SEMA6C
ALX4(+),CCDC140
ALX4(+),PTPRN2
ALX4(+),TBX3
ALX4(+),MEIS2
ALX4(+),MRRF
ALX4(+),CASZ1
ALX4(+),CTIF
ALX4(+),COL25A1
ALX4(+),SLC4A4
ALX4(+),PITX1
ALX4(+),GFRA1
ALX4(+),TMEM59L
ALX4(+),ADGRB1
ALX4(+),IGF1
ALX4(+),SLC16A5
ALX4(+),AFF3
ALX4(+),FJX1
ALX4(+),BBC3
ALX4(+),EYA1
ALX4(+),CAPG
ALX4(+),RNF31
ALX4(+),DCHS2
ALX4(+),ERVMER34-1
ALX4(+),GRB14
ALX4(+),P2RX1
ALX4(+),ALX4
ALX4(+),CCNJL
AR(+),MAGI1
AR(+),NOTCH2NL
AR(+),AR
AR(+),PLAC9
AR(+),TTLL7
AR(+),MEF2D
AR(+),NBPF14
ARID3A(+),PHACTR3
ARID3A(+),FOXP4
ARID3A(+),SHOX2
ARID3A(+),LMO4
ARID3A(+),CXXC5
ARID3A(+),TBX15
ARID3A(+),LHX9
ARID3A(+),SMAD7
ARID3A(+),GATA3
ARID3A(+),ARID3A
ARID3A(+),PAPPA
ARID3A(+),GNB2
ARID3A(+),RCC2
ARID3A(+),GSE1
ARID3A(+),TRIM8
ARID3A(+),TCF7L2
ARID3A(+),CDC42EP3
ARID3A(+),PPP1CB
ARID3A(+),MN1
ARID3A(+),GJD2
ARID3A(+),HIC2
ARID3A(+),FZD2
ARID3A(+),TLE4
ARID3A(+),RHOBTB1
ARID3A(+),NCOR2
ARID3A(+),DSCAML1
ARID3A(+),BCL7A
ARID3A(+),MVB12B
ARID3A(+),RSPO3
ARID3A(+),SVIL
ARID3A(+),COL25A1
ARID3A(+),RUNX3
ARID3A(+),DCAF5
ARID3A(+),DUSP4
ARID3A(+),ZSWIM6
ARID3A(+),TMOD1
ARID3A(+),SLC12A5
ARID3A(+),HIVEP2
ARID3A(+),MTSS1
ARID3A(+),BCAR3
ARID3A(+),FGF4
ARID3A(+),CSNK1E
ARID3A(+),SEMA4B
ARID3A(+),RREB1
ARID3A(+),TNK2
ARID3A(+),NOVA1
ARID3A(+),BMP7
ARID3A(+),CHST2
ARID3A(+),PLXNA1
ARID3A(+),TRAF5
ARID3A(+),KIF3A
ARID3A(+),PRR5
ARID3A(+),RBFOX2
ARID3A(+),KIAA1217
ARID3A(+),HIP1R
ARID3A(+),FRAT2
ARID3A(+),DNAJA4
ARID3A(+),ADAM12
ARID3A(+),RPS27L
ARID3A(+),MIXL1
ARID3A(+),PEPD
ARID3A(+),GRIA3
ARID3A(+),VGLL4
ARID3A(+),BCL6B
ARID3A(+),LUZP1
ARID3A(+),EBF2
ARID3A(+),IGDCC3
ARID3A(+),JARID2
ARID3A(+),SMAD9
ARID3A(+),HOOK2
ARID3A(+),MTSS1L
ARID3A(+),SBK1
ARID3A(+),HOMER3
ARID3A(+),RXRG
ARID3A(+),RGS2
ARID3A(+),SDCBP
ARID3A(+),SEC14L6
ARID3A(+),KCNH2
ARID3A(+),PALM2
ARID3A(+),NPC1L1
ARID3A(+),SNHG9
ARID3A(+),SH3TC2
ARID3A(+),CRYBB1
ARID3A(+),SCX
ARID3A(+),SYT1
ARID3A(+),ACSL3
ARID3A(+),ZCCHC24
ARID3A(+),PBX3
ARID3A(+),CTNNA1
ARID3A(+),RASGEF1B
ARID3A(+),HBZ
ARID3A(+),SPON1
ARID3A(+),CAV3
ARID3A(+),CBX3
ARID3A(+),MYO10
ARID3A(+),DOK7
ARID3A(+),HRC
ARID3A(+),MEOX2
ARID3A(+),C9orf24
ARID3A(+),MAB21L2
ARID3A(+),SFRP2
ARID3A(+),EIF4A3
ARID3A(+),N4BP2L1
ARID3A(+),CTXN3
ARID3A(+),CBLB
ARID3A(+),PABPC5-AS1
ARID3A(+),MAP2K1
ARID3A(+),METTL17
ARID3A(+),SNTG1
ARID3A(+),MYLK3
ARID3A(+),PALMD
ARID3A(+),SPX
ARID3A(+),PSMD3
ARID3A(+),PIK3R3
ARID3A(+),PEX5
ARID3A(+),ZFAND5
ARID3A(+),RBMS3
ARID3A(+),SKIL
ARID3A(+),DCX
ARID3A(+),DLGAP4
ARID3A(-),RPS4X
ARID3A(-),RPL5
ARID3A(-),PDE4B
ARID3A(-),RGS10
ARID3A(-),TAGLN2
ARID3A(-),MEST
ARID3A(-),COL5A2
ARID3A(-),GNAS
ARID3A(-),ARID3A
ARID3A(-),PTMA
ARID3A(-),DCN
ARID3A(-),IGFBP2
ARNT(+),CDKN2C
ARNT(+),MGA
ARNT(+),WT1
ARNT(+),NAB1
ARNT(+),TP53INP1
ARNT(+),FDCSP
ARNT(+),DAB2
ARNT(+),KMT5B
ARNT(+),ITGB1
